current_age,gender,yearly_income,per_capita_income,total_debt,credit_score,num_credit_cards,dti_ratio,amount,use_chip,merchant_state,default,predicted_rf,risk_probability,risk_label
59,Male,961882.0,80157,697407,578,3,0.7250442361952921,4564.98,Yes,Madhya Pradesh,1,1,0.96,High Risk
36,Male,498065.0,41505,71716,620,3,0.1439892383524239,2167.5,Yes,Rajasthan,1,1,0.68,High Risk
24,Female,601907.0,50159,50959,675,5,0.08466258076413798,3648.23,Yes,Karnataka,0,0,0.0,Low Risk
24,Male,509341.0,42445,226953,816,2,0.4455816437318025,611.04,Yes,Uttar Pradesh,0,0,0.09,Low Risk
25,Male,252965.0,21080,121311,698,3,0.47955646037989447,516.93,Yes,Gujarat,0,0,0.02,Low Risk
31,Male,895055.0,74588,0,736,4,0.0,4954.23,Yes,West Bengal,0,0,0.0,Low Risk
61,Female,429747.0,35812,159135,708,3,0.3702992691048454,4038.17,No,West Bengal,0,0,0.16,Low Risk
68,Female,1180378.0,98365,200752,762,5,0.17007433212072742,2711.32,No,Delhi,0,0,0.04,Low Risk
43,Female,729348.0,60779,0,647,2,0.0,3266.28,Yes,Madhya Pradesh,1,1,0.7,High Risk
25,Male,288654.0,24054,0,664,1,0.0,1425.39,Yes,Bihar,0,0,0.06,Low Risk
42,Female,845562.0,70464,228528,715,3,0.27026758534560447,1669.72,Yes,Karnataka,0,0,0.06,Low Risk
22,Male,977685.0,81474,16558,767,3,0.016935925170172398,301.84,No,Tamil Nadu,0,0,0.09,Low Risk
49,Female,249468.0,20789,52973,879,1,0.2123438677505732,1350.57,Yes,Tamil Nadu,0,0,0.12,Low Risk
35,Male,289354.0,24113,0,677,1,0.0,3268.81,Yes,Telangana,0,0,0.04,Low Risk
23,Female,285489.0,23791,158627,773,2,0.5556326163179667,1808.86,Yes,Rajasthan,0,0,0.11,Low Risk
57,Female,531161.0,44263,62303,567,1,0.11729588580486895,776.54,No,Maharashtra,1,1,0.79,High Risk
29,Female,208564.0,17380,0,820,1,0.0,1779.52,Yes,Gujarat,0,0,0.04,Low Risk
58,Female,1705428.0,142119,54145,703,4,0.03174862849677618,413.76,Yes,Maharashtra,0,0,0.02,Low Risk
33,Male,641626.0,53469,161472,782,4,0.25166062472530726,1725.61,Yes,Tamil Nadu,0,0,0.02,Low Risk
70,Male,565828.0,47152,127470,671,2,0.22528047392493833,937.77,Yes,Madhya Pradesh,0,0,0.0,Low Risk
56,Female,388024.0,32335,144180,840,3,0.3715749541265489,1210.02,No,Rajasthan,0,0,0.05,Low Risk
19,Female,713049.0,59421,315841,825,5,0.44294431378488713,4387.65,Yes,West Bengal,0,0,0.04,Low Risk
36,Male,438787.0,36566,0,854,3,0.0,5169.13,No,Delhi,0,0,0.04,Low Risk
23,Male,820453.0,68371,32651,572,3,0.03979630764955457,5667.46,Yes,Maharashtra,1,1,0.86,High Risk
65,Male,624611.0,52051,440914,637,3,0.7059017532512235,2234.71,No,Delhi,1,1,0.84,High Risk
63,Female,391527.0,32627,26025,671,1,0.06647051161222597,3086.47,Yes,Rajasthan,0,0,0.08,Low Risk
63,Male,324053.0,27004,24637,591,3,0.07602768682900636,3819.52,Yes,Bihar,1,1,0.95,High Risk
58,Male,755318.0,62943,193503,717,5,0.2561874601161365,2189.39,Yes,Gujarat,0,0,0.06,Low Risk
60,Male,723829.0,60319,23627,637,4,0.0326416874703832,1524.64,No,Tamil Nadu,1,1,0.84,High Risk
38,Female,1023616.0,85301,187047,680,4,0.18273161029135926,887.11,Yes,Madhya Pradesh,0,0,0.11,Low Risk
70,Female,404371.0,33698,0,762,2,0.0,1844.84,Yes,Uttar Pradesh,0,0,0.03,Low Risk
36,Male,421628.0,35136,0,648,1,0.0,5967.75,Yes,Tamil Nadu,1,0,0.2,Low Risk
43,Female,862055.0,71838,138460,754,3,0.16061620198247212,1623.49,Yes,Madhya Pradesh,0,0,0.04,Low Risk
66,Male,530544.0,44212,72337,680,1,0.13634495913628275,3811.77,Yes,Karnataka,0,0,0.17,Low Risk
34,Other,759243.0,63270,81645,630,4,0.1075347418415448,2553.83,No,Gujarat,1,1,0.95,High Risk
48,Female,785669.0,65472,101529,777,3,0.12922617539956394,3362.56,Yes,Madhya Pradesh,0,0,0.01,Low Risk
61,Male,2203425.0,183619,1053264,623,4,0.47801218557473024,3547.72,Yes,Gujarat,1,1,0.98,High Risk
42,Female,868627.0,72386,0,672,4,0.0,1577.37,Yes,Tamil Nadu,0,0,0.1,Low Risk
67,Female,616474.0,51373,0,650,3,0.0,960.21,Yes,Tamil Nadu,0,0,0.03,Low Risk
40,Male,2221186.0,185099,0,749,3,0.0,5405.22,No,Maharashtra,0,0,0.05,Low Risk
66,Female,541698.0,45142,245509,717,1,0.45322116751400227,6719.84,Yes,Tamil Nadu,0,0,0.12,Low Risk
62,Female,1591083.0,132590,0,824,2,0.0,905.35,No,Madhya Pradesh,0,0,0.07,Low Risk
30,Female,1062277.0,88523,562874,579,3,0.5298749761126336,630.01,Yes,Madhya Pradesh,1,1,0.92,High Risk
46,Male,826760.0,68897,257606,656,4,0.3115849823407035,5050.2,Yes,Madhya Pradesh,0,0,0.02,Low Risk
59,Male,343909.0,28659,41101,684,3,0.11951126606166167,6283.89,Yes,Maharashtra,0,0,0.06,Low Risk
61,Male,278549.0,23212,83902,727,2,0.3012109180072447,1347.79,No,Telangana,0,0,0.06,Low Risk
37,Female,302298.0,25192,5480,708,3,0.018127807659991134,3128.16,Yes,Gujarat,0,0,0.03,Low Risk
61,Female,704127.0,58677,167613,773,4,0.23804370518386597,4553.1,No,Telangana,0,0,0.04,Low Risk
31,Male,947841.0,78987,0,784,3,0.0,777.26,Yes,Karnataka,0,0,0.03,Low Risk
40,Male,1064159.0,88680,708710,678,5,0.6659813054252232,1367.09,Yes,Uttar Pradesh,0,0,0.06,Low Risk
46,Female,867202.0,72267,0,660,3,0.0,1124.64,Yes,Rajasthan,0,0,0.07,Low Risk
25,Female,579988.0,48332,0,564,1,0.0,5645.74,No,Maharashtra,1,1,0.76,High Risk
45,Female,1070512.0,89209,237736,861,4,0.22207691272960975,1912.94,Yes,Maharashtra,0,0,0.01,Low Risk
59,Male,504558.0,42046,147995,625,2,0.29331613015748437,1722.75,Yes,Gujarat,1,1,0.83,High Risk
58,Male,699989.0,58332,333452,658,4,0.47636748577477644,3582.4,Yes,Maharashtra,0,0,0.05,Low Risk
61,Female,305875.0,25490,51323,878,2,0.16779076420106254,1185.26,Yes,Maharashtra,0,0,0.04,Low Risk
48,Male,526270.0,43856,116040,667,3,0.22049518308092805,4066.3,Yes,Gujarat,0,0,0.09,Low Risk
40,Female,706930.0,58911,158915,831,3,0.2247959486795015,4850.05,No,Maharashtra,0,0,0.09,Low Risk
52,Female,795899.0,66325,167771,716,2,0.21079433445701024,825.89,Yes,West Bengal,0,0,0.07,Low Risk
49,Male,1036544.0,86379,529704,685,5,0.5110289577673499,2242.6,Yes,Uttar Pradesh,0,0,0.01,Low Risk
19,Male,1151976.0,95998,196432,850,3,0.1705174413355834,3830.46,Yes,Delhi,0,0,0.04,Low Risk
21,Female,651360.0,54280,0,782,4,0.0,5262.31,Yes,Bihar,0,0,0.03,Low Risk
38,Female,974422.0,81202,391628,726,2,0.40190800289812834,2635.63,No,Madhya Pradesh,0,0,0.06,Low Risk
68,Male,233377.0,19448,65748,553,1,0.28172442014423016,2921.99,Yes,Bihar,1,1,0.82,High Risk
24,Male,1050509.0,87542,199480,799,3,0.18988890147538004,3759.03,Yes,Gujarat,0,0,0.02,Low Risk
62,Male,443814.0,36984,179724,676,1,0.4049534264353986,2348.59,Yes,Uttar Pradesh,0,0,0.2,Low Risk
23,Male,862247.0,71854,124902,812,4,0.14485640425539317,2447.33,Yes,Madhya Pradesh,0,0,0.0,Low Risk
40,Female,608238.0,50686,0,623,4,0.0,2360.6,No,Madhya Pradesh,1,1,0.87,High Risk
36,Male,1715559.0,142963,0,704,4,0.0,1173.19,Yes,Karnataka,0,0,0.02,Low Risk
25,Female,452849.0,37737,0,685,2,0.0,4275.41,Yes,Bihar,0,0,0.01,Low Risk
67,Female,677521.0,56460,246539,625,3,0.36388392389313395,1507.97,No,West Bengal,1,1,0.85,High Risk
35,Male,854447.0,71204,328650,580,4,0.38463474036423556,1012.55,No,Madhya Pradesh,1,1,0.9,High Risk
19,Female,619918.0,51660,0,689,4,0.0,524.28,Yes,Madhya Pradesh,0,0,0.05,Low Risk
62,Male,410333.0,34194,0,867,2,0.0,2065.12,Yes,Maharashtra,0,0,0.09,Low Risk
24,Female,252798.0,21066,90091,676,1,0.35637544600827537,1735.29,Yes,Madhya Pradesh,0,0,0.04,Low Risk
56,Male,1486255.0,123855,331026,677,3,0.2227249025234566,3254.09,Yes,West Bengal,0,0,0.03,Low Risk
30,Female,319179.0,26598,0,565,1,0.0,961.77,Yes,Bihar,1,0,0.33,Low Risk
59,Male,501528.0,41794,152119,585,2,0.3033110813354389,3157.12,No,Uttar Pradesh,1,1,0.78,High Risk
22,Male,678213.0,56518,218839,595,5,0.3226700166466877,2857.71,Yes,Gujarat,1,1,1.0,High Risk
54,Male,202123.0,16844,0,864,1,0.0,4485.04,No,Gujarat,0,0,0.05,Low Risk
60,Male,1321739.0,110145,385598,719,4,0.2917353577370419,5079.11,Yes,Maharashtra,0,0,0.01,Low Risk
30,Male,1022670.0,85222,261934,764,3,0.25612758758934945,1716.49,No,Delhi,0,0,0.14,Low Risk
54,Male,468454.0,39038,0,785,2,0.0,1719.09,Yes,Madhya Pradesh,0,0,0.07,Low Risk
26,Female,590591.0,49216,35373,697,3,0.05989424153094104,1504.0,Yes,Gujarat,0,0,0.02,Low Risk
24,Female,601907.0,50159,50959,675,5,0.08466258076413798,2525.13,Yes,Tamil Nadu,0,0,0.01,Low Risk
54,Female,1273619.0,106135,157152,687,4,0.12339011902303593,6400.06,Yes,Gujarat,0,0,0.04,Low Risk
43,Male,381375.0,31781,0,735,3,0.0,5099.91,Yes,Maharashtra,0,0,0.01,Low Risk
23,Male,428469.0,35706,0,556,3,0.0,5188.0,Yes,Madhya Pradesh,1,1,0.78,High Risk
70,Female,244023.0,20335,0,809,1,0.0,5316.64,Yes,Maharashtra,0,0,0.11,Low Risk
22,Male,638917.0,53243,0,856,4,0.0,1022.48,No,Madhya Pradesh,0,0,0.01,Low Risk
23,Male,1004452.0,83704,125035,632,4,0.12448081142752467,1735.56,No,Gujarat,1,1,0.9,High Risk
32,Male,727622.0,60635,0,684,3,0.0,420.31,No,Karnataka,0,0,0.07,Low Risk
48,Female,696999.0,58083,0,608,4,0.0,3092.67,Yes,Maharashtra,1,1,0.76,High Risk
61,Male,2203425.0,183619,1053264,623,4,0.47801218557473024,2755.19,Yes,Maharashtra,1,1,0.98,High Risk
52,Female,651964.0,54330,329597,746,2,0.5055447846813628,3292.39,Yes,Uttar Pradesh,0,0,0.07,Low Risk
52,Female,1060444.0,88370,0,794,5,0.0,860.43,Yes,Maharashtra,0,0,0.04,Low Risk
48,Male,656113.0,54676,290365,619,2,0.4425533406593072,3372.15,No,Rajasthan,1,1,0.77,High Risk
68,Female,545372.0,45448,164011,848,3,0.3007323441614164,3644.73,Yes,Telangana,0,0,0.08,Low Risk
23,Female,372651.0,31054,202165,757,2,0.5425049174696969,2973.08,No,Rajasthan,0,0,0.12,Low Risk
66,Female,740571.0,61714,0,635,4,0.0,1739.32,No,Madhya Pradesh,1,1,0.6,High Risk
60,Female,982862.0,81905,306247,732,5,0.3115869776224943,131.98,Yes,Gujarat,0,0,0.04,Low Risk
66,Male,487426.0,40619,105919,682,3,0.21730272902963732,1196.63,No,Rajasthan,0,0,0.05,Low Risk
52,Female,426701.0,35558,133919,721,2,0.3138474013419233,2740.06,Yes,Gujarat,0,0,0.11,Low Risk
41,Male,429166.0,35764,0,775,2,0.0,3610.37,Yes,Maharashtra,0,0,0.0,Low Risk
38,Female,345084.0,28757,102570,757,1,0.29723197830093545,5405.04,Yes,Uttar Pradesh,0,0,0.04,Low Risk
49,Male,1502805.0,125234,325343,634,5,0.21649049610561583,1451.95,Yes,Gujarat,1,1,0.96,High Risk
56,Male,1085328.0,90444,0,737,3,0.0,1471.11,Yes,Gujarat,0,0,0.03,Low Risk
69,Male,1229073.0,102423,223543,744,5,0.18187935134853667,5543.33,Yes,Bihar,0,0,0.03,Low Risk
29,Female,692841.0,57737,176649,759,3,0.2549632599687374,3685.41,No,Telangana,0,0,0.04,Low Risk
26,Female,345239.0,28770,0,655,1,0.0,2811.67,Yes,Telangana,0,0,0.0,Low Risk
22,Female,332645.0,27720,120783,634,2,0.36309879901997627,1186.11,Yes,Tamil Nadu,1,1,0.76,High Risk
31,Female,354039.0,29503,56354,703,2,0.15917455421577847,3804.18,Yes,Maharashtra,0,0,0.1,Low Risk
50,Male,493632.0,41136,0,771,1,0.0,2686.07,No,Tamil Nadu,0,0,0.21,Low Risk
65,Male,789431.0,65786,194486,693,5,0.24636225331916278,1008.98,Yes,Karnataka,0,0,0.0,Low Risk
35,Male,1588293.0,132358,244926,819,2,0.1542070638100149,7457.6,Yes,Madhya Pradesh,0,0,0.0,Low Risk
57,Female,803528.0,66961,251082,696,3,0.31247448751008056,1076.27,Yes,Madhya Pradesh,0,0,0.08,Low Risk
67,Female,365381.0,30448,0,747,2,0.0,1352.25,No,Karnataka,0,0,0.05,Low Risk
37,Female,1444279.0,120357,588376,723,5,0.4073838918934638,2407.48,No,Gujarat,0,0,0.03,Low Risk
45,Female,629612.0,52468,130984,708,5,0.20803923686333806,5059.19,No,Madhya Pradesh,0,0,0.04,Low Risk
58,Male,430581.0,35882,66461,711,1,0.1543519105580599,9209.86,Yes,Maharashtra,0,0,0.02,Low Risk
57,Male,810437.0,67536,0,824,4,0.0,4781.74,Yes,Tamil Nadu,0,0,0.18,Low Risk
49,Female,638945.0,53245,0,651,4,0.0,2227.52,Yes,Gujarat,0,0,0.03,Low Risk
56,Male,699787.0,58316,47863,900,5,0.06839652637159593,4384.99,Yes,Tamil Nadu,0,0,0.08,Low Risk
24,Male,509341.0,42445,226953,816,2,0.4455816437318025,2688.91,Yes,Rajasthan,0,0,0.03,Low Risk
52,Male,644313.0,53693,116821,739,4,0.18131094669826622,1667.16,Yes,Gujarat,0,0,0.03,Low Risk
56,Female,444903.0,37075,121899,711,2,0.27399006075481624,8300.99,Yes,Rajasthan,0,0,0.49,Low Risk
62,Female,746991.0,62249,0,700,4,0.0,721.31,No,Gujarat,0,0,0.1,Low Risk
49,Male,340277.0,28356,88684,802,3,0.2606229630565686,2509.89,Yes,Maharashtra,0,0,0.02,Low Risk
65,Female,324707.0,27059,196469,728,1,0.6050654898108141,7026.77,Yes,West Bengal,0,0,0.27,Low Risk
50,Male,636184.0,53015,0,689,3,0.0,6088.53,No,Gujarat,0,0,0.07,Low Risk
56,Female,883691.0,73641,267368,771,3,0.3025582471701081,4707.78,Yes,Gujarat,0,0,0.04,Low Risk
40,Male,423016.0,35251,136865,800,1,0.32354568148722507,578.14,No,Gujarat,0,0,0.09,Low Risk
43,Male,528981.0,44082,40091,622,2,0.07578911151818307,1321.5,Yes,Gujarat,1,1,0.91,High Risk
41,Male,342621.0,28552,84289,721,2,0.2460123576780174,3341.02,Yes,Maharashtra,0,0,0.01,Low Risk
58,Female,633104.0,52759,355912,776,3,0.5621698804619778,3561.46,No,Telangana,0,0,0.15,Low Risk
63,Female,631011.0,52584,315229,551,5,0.499561814294838,1150.27,Yes,Telangana,1,1,0.91,High Risk
53,Female,840310.0,70026,0,719,3,0.0,1006.7,Yes,Karnataka,0,0,0.04,Low Risk
25,Female,345500.0,28792,0,704,1,0.0,3603.19,Yes,Maharashtra,0,0,0.03,Low Risk
42,Male,763171.0,63598,165130,581,3,0.21637352572359275,1406.71,Yes,Madhya Pradesh,1,1,0.79,High Risk
53,Female,903411.0,75284,212073,680,2,0.23474697562903263,4603.37,Yes,Gujarat,0,0,0.19,Low Risk
37,Male,421237.0,35103,54237,682,1,0.12875649574942372,2744.96,Yes,West Bengal,0,0,0.05,Low Risk
48,Male,312129.0,26011,107085,871,3,0.3430793037494113,2267.25,No,Gujarat,0,0,0.15,Low Risk
70,Male,678019.0,56502,0,798,5,0.0,1632.81,Yes,Tamil Nadu,0,0,0.01,Low Risk
33,Female,609000.0,50750,0,587,2,0.0,2513.17,Yes,West Bengal,1,1,0.77,High Risk
42,Female,701714.0,58476,0,855,4,0.0,874.3,Yes,Bihar,0,0,0.03,Low Risk
61,Female,372426.0,31036,38774,762,2,0.10411195781175321,9577.77,No,Gujarat,0,0,0.06,Low Risk
62,Female,1182809.0,98567,0,728,5,0.0,2712.12,Yes,Karnataka,0,0,0.03,Low Risk
47,Male,932286.0,77690,177769,639,3,0.19068075676348245,6965.42,No,Delhi,1,1,0.66,High Risk
47,Male,458452.0,38204,239213,767,2,0.5217841780600805,4797.55,Yes,Maharashtra,0,0,0.15,Low Risk
29,Male,1080367.0,90031,321696,785,4,0.2977654815446973,1900.82,Yes,Gujarat,0,0,0.05,Low Risk
33,Female,316416.0,26368,0,617,3,0.0,3312.06,Yes,Gujarat,1,1,0.76,High Risk
41,Female,260611.0,21718,85746,706,2,0.3290191127772811,5316.27,Yes,Maharashtra,0,0,0.11,Low Risk
53,Male,655591.0,54633,91522,674,5,0.13960228252065693,5794.63,Yes,Karnataka,0,0,0.02,Low Risk
70,Male,786081.0,65507,0,628,4,0.0,1697.99,Yes,Tamil Nadu,1,1,0.83,High Risk
42,Male,971627.0,80969,395307,674,4,0.4068505712583121,2529.48,Yes,Gujarat,0,0,0.02,Low Risk
44,Female,469999.0,39167,171914,631,3,0.36577524633031133,2502.23,No,Madhya Pradesh,1,1,0.79,High Risk
70,Male,579589.0,48299,0,756,1,0.0,1318.66,No,Maharashtra,0,0,0.48,Low Risk
55,Female,660634.0,55053,0,814,3,0.0,5303.29,Yes,Gujarat,0,0,0.04,Low Risk
22,Male,329383.0,27449,44511,635,1,0.13513447870715853,7384.23,Yes,Madhya Pradesh,1,1,0.79,High Risk
34,Male,257784.0,21482,156270,550,2,0.6062051950470161,6328.95,Yes,Uttar Pradesh,1,1,0.85,High Risk
34,Female,608602.0,50717,68406,763,4,0.11239857903851778,1628.71,Yes,Karnataka,0,0,0.07,Low Risk
69,Male,558435.0,46536,0,816,2,0.0,3376.94,Yes,Maharashtra,0,0,0.02,Low Risk
65,Female,1424114.0,118676,382430,586,5,0.2685388950603674,3186.59,Yes,Maharashtra,1,1,0.98,High Risk
34,Male,418149.0,34846,0,735,2,0.0,1476.07,Yes,Uttar Pradesh,0,0,0.13,Low Risk
59,Other,531446.0,44287,75734,736,1,0.1425055414849298,4463.66,Yes,Gujarat,0,0,0.33,Low Risk
67,Female,773466.0,64456,115342,781,4,0.14912355552797407,6808.12,No,Telangana,0,0,0.03,Low Risk
42,Female,1408396.0,117366,0,717,4,0.0,3024.79,No,Maharashtra,0,0,0.03,Low Risk
49,Female,1137373.0,94781,162594,623,3,0.1429557409926207,4136.59,Yes,Uttar Pradesh,1,1,0.65,High Risk
31,Female,1223871.0,101989,270283,634,3,0.22084271953498366,1024.91,No,Bihar,1,1,0.87,High Risk
60,Female,344437.0,28703,0,754,1,0.0,2507.94,Yes,Uttar Pradesh,0,0,0.22,Low Risk
57,Male,711012.0,59251,101955,735,4,0.14339420431722671,1180.96,Yes,Bihar,0,0,0.0,Low Risk
20,Female,628068.0,52339,161490,752,4,0.2571218403102849,2725.06,Yes,Maharashtra,0,0,0.12,Low Risk
60,Male,257444.0,21454,53987,786,1,0.209703857926384,1046.13,No,Uttar Pradesh,0,0,0.08,Low Risk
48,Male,603384.0,50282,67855,690,3,0.11245740689179694,2782.81,No,Maharashtra,0,0,0.03,Low Risk
50,Female,1038785.0,86565,94620,750,2,0.09108718358466862,3869.27,No,Madhya Pradesh,0,0,0.1,Low Risk
37,Male,427323.0,35610,0,748,2,0.0,6808.98,Yes,Bihar,0,0,0.01,Low Risk
46,Male,3000000.0,250000,0,746,2,0.0,2294.47,Yes,Delhi,0,0,0.09,Low Risk
50,Female,1498688.0,124891,0,762,4,0.0,4023.8,No,Uttar Pradesh,0,0,0.0,Low Risk
60,Female,759581.0,63298,150643,612,3,0.19832381273359917,1805.91,No,Rajasthan,1,1,0.89,High Risk
35,Male,287814.0,23984,0,681,2,0.0,6152.39,No,West Bengal,0,0,0.03,Low Risk
48,Female,905643.0,75470,104307,849,2,0.11517452241114877,1417.14,Yes,Gujarat,0,0,0.09,Low Risk
45,Female,284626.0,23719,0,661,2,0.0,1009.87,No,Madhya Pradesh,0,0,0.04,Low Risk
31,Male,489184.0,40765,153521,685,2,0.31383078759730487,439.7,No,Gujarat,0,0,0.06,Low Risk
46,Female,822355.0,68530,107953,854,4,0.13127299037520293,735.02,Yes,Karnataka,0,0,0.03,Low Risk
58,Female,1241624.0,103469,0,597,2,0.0,1749.26,Yes,Maharashtra,1,1,0.82,High Risk
37,Female,683079.0,56923,286865,670,3,0.4199587456209311,13991.61,No,Maharashtra,0,0,0.04,Low Risk
53,Male,372596.0,31050,89853,810,3,0.24115395763776315,3308.84,No,West Bengal,0,0,0.02,Low Risk
35,Female,513348.0,42779,0,645,1,0.0,2707.71,Yes,Maharashtra,1,1,0.74,High Risk
33,Female,828202.0,69017,293449,535,1,0.3543205643067754,3455.84,Yes,Gujarat,1,1,0.82,High Risk
55,Male,876064.0,73005,0,711,4,0.0,4315.41,Yes,Madhya Pradesh,0,0,0.08,Low Risk
41,Female,1087566.0,90630,0,865,4,0.0,1754.46,Yes,Maharashtra,0,0,0.12,Low Risk
28,Female,786129.0,65511,522656,688,4,0.6648476267889876,3935.18,No,Maharashtra,0,0,0.09,Low Risk
50,Male,1717388.0,143116,803559,606,3,0.46789601417967286,3149.74,Yes,Rajasthan,1,1,0.9,High Risk
63,Female,753101.0,62758,49779,679,4,0.06609870389230661,3161.03,Yes,Maharashtra,0,0,0.05,Low Risk
35,Male,800022.0,66668,276655,751,3,0.3458092402458932,5413.23,No,Tamil Nadu,0,0,0.1,Low Risk
23,Female,256904.0,21409,60818,701,3,0.23673434434652632,6546.82,No,Karnataka,0,0,0.09,Low Risk
56,Male,399901.0,33325,0,730,3,0.0,749.75,Yes,Tamil Nadu,0,0,0.07,Low Risk
51,Male,584829.0,48736,80349,647,2,0.13738887777452896,878.09,No,Gujarat,1,1,0.87,High Risk
33,Female,1134339.0,94528,297106,675,4,0.26191993751427045,5032.43,Yes,Uttar Pradesh,0,0,0.04,Low Risk
